codigo,	titulo,	organismo,	en_que_consiste,	requisitos,	como_se_hace_el_tramite	,quien_puede_o_debe_efectuarlo,	que_vigencia_tiene_el_documento	cuantas_veces_deberia_asistir_al_organismo,	tiempo_desde_la_solicitud_hasta_la_entrega,	donde_se_puede_realizar	cuando_es_necesario_realizar_el_tramite,	observaciones,	otros1,	otros2,	otros3
118	Obtención del Certificado de Capacidad Económica - Adquisición de automotores para personas con discapacidad	Administración Federal de Ingresos Públicos	"Obtener un certificado donde se acredite que se cuenta con la capacidad económica necesaria para acceder a la adquisición y mantenimiento de un automotor con el goce de los beneficios que prevé la Ley N° 19.279. Este certificado es necesario para realizar el trámite de adquisición de automotores con franquicias ante el Servicio Nacional de Rehabilitación - SNR, trámite ""Otorgamiento de franquicias para la adquisición de vehículos para personas con discapacidad (Ley N° 19.279)""."	"1.-Formulario Multinota F206 identificando el trámite a realizar, debidamente suscripto por la persona con discapacidad o, en su caso, por su representante, precedida la firma de la fórmula ""la presente declaración ha sido confeccionada sin omitir ni falsear dato alguno que deba contener y siendo fiel expresión de la verdad"". Dicho formulario deberá contener la información que, para cada caso, se detalla seguidamente: - Respecto del beneficiarlo y de cada uno de los Integrantes del grupo familiar: Apellido y nombres, Número de documento de identidad (LC, LE, DNI), Domicilio, Número de clave única de identificación tributaria (CUIT) de resultar obligatoria su inscripción en la AFIP.- Con relación a los integrantes del grupo familiar: grado de parentesco o afinidad con la persona con discapacidad: Actividades u otras fuentes generadoras de ingresos, domicilio en el que se ejercen las actividades aludidas en el punto anterior (de tratarse de trabajo en relación de dependencia, deberá informarse también apellido y nombres o denominación del empleador), monto de los ingresos obtenidos en cada una de las actividades referidas, durante los DOCE (12) meses inmediatos anteriores a la fecha de la solicitud presentada en la AFIP.- Por aquellos ingresos obtenidos en relación de dependencia: certificado otorgado por el empleador:- De tratarse de ingresos resultantes del desarrollo de actividades autónomas (comerciales, de prestación de servicios, etc.), u otros (rentas de capitales, inmuebles, jubilaciones, etc.): certificación extendida por contador público, con firma autenticada por la institución profesional en la que se encuentre matriculado, o documentación fehaciente que compruebe los ingresos declarados.- Con relación a los depósitos, indicar: clase y número/s de cuenta/s y denominación de la o las Instituciones financieras -casa matriz o número de sucursal- en la que se encuentran el o los depósitos, importe del o de los depósitos a la fecha en que se formula la solicitud en la AFIP, adjuntar constancia (original y fotocopia) del o de los depósitos constituidos en las entidades financieras.- Con relación a la tenencia de títulos, acciones o bienes de fácil realización por un monto similar al valor del automóvil a adquirir, indicar: clase, cantidad, valor nominal y valor de plaza a la fecha en que se formula la solicitud en la AFIP y denominación de la entidad emisora. Adjuntar constancia (original y fotocopia) de la tenencia de títulos, acciones o bienes de fácil realización.- Elementos probatorios de los bienes declarados: Respecto de los bienes situados en el país y/o en el exterior que posean al 31 de diciembre del año inmediato anterior a la fecha de la solicitud: Tipo y ubicación del bien, Valor de los mismos de conformidad con las disposiciones de los artículos 22 y 23 de la Ley del Impuesto Sobre los Bienes Personales. Respecto del automotor que ha de ser adquirido por el beneficiario: Marca, modelo y valor -el que incluirá los gastos para su efectiva utilización.- De ser interpuesta la solicitud por intermedio de un representante, deberá exhibirse el poder o autorización que acredite el carácter invocado, acompañándose copia del mismo.- El juez administrativo podrá solicitar, mediante acto fundado, las aclaraciones o documentación complementarias que considere necesarias a los fines de la tramitación de las solicitudes.  Requisitos: El peticionante y su núcleo familiar, a efectos de acreditar capacidad económica mínima para afrontar la erogación que ocasionará la adquisición y mantenimiento del automotor, deberán reunir, en forma concurrente, los siguientes requisitos: 1) Tener depositado a la fecha de la solicitud en una o más cuenta/s abierta/s en instituciones del país sujetas al régimen legal de entidades financieras: - un importe que como mínimo sea equivalente al valor del vehículo que pretende adquirir, el caso que se realice la compra al contado o - un importe equivalente al adelanto demandado por el vendedor, en el caso de compra financiada En ambos casos el importe incluirá todos los gastos que tenga obligación de incurrir previos a su efectiva utilización o acreditará la tenencia de títulos, acciones o bienes de fácil realización por un monto similar.2) Haber tenido la persona con discapacidad o su grupo familiar durante los DOCE (12) meses inmediatos anteriores a la fecha de la solicitud ingresos mensuales no inferiores al CINCO POR CIENTO (5 %) del valor del auto que intenta adquirir. Se considerará que el interesado, juntamente con su grupo familiar posee una capacidad económica de tal cuantía que le permita la compra del automotor sin el goce de los beneficios y exenciones, cuando se verifique alguna de las siguientes circunstancias: - Poseer al 31 de diciembre del año anterior a la fecha de la solicitud, bienes situados en el país y en el exterior que valuados de conformidad con las disposiciones en la Ley del Impuesto Sobre los Bienes Personales, superen el triple del importe previsto en su artículo 21, inciso i). A tal efecto se consideran bienes situados en el país y en el exterior aquellos enumerados en dicho texto legal, incluidos los detallados en el Artículo como exentos del Impuesto.- Haber tenido el interesado durante los DOCE (12) meses inmediatos anteriores a la fecha de la solicitud, ingresos mensuales superiores a DOS (2) veces a la suma del importe correspondiente al mínimo no imponible.- Haber tenido el grupo familiar, incluida la persona con discapacidad, ingresos mensuales superiores al cuádruple del importe correspondiente al mínimo no imponible."	1.- Presentar la solicitud mediante el formulario multinota (F.206/M) debidamente cubierto, adjuntando la documentación requerida para cada caso y cumpliendo los requisitos establecidos.  2.- Retirar el certificado.	Podrá realizarlo el titular en forma personal o persona debidamente autorizada.	Si bien el documento tramitado no tiene fecha de vigencia, se recomienda su utilzación dentro de los 30 días de recibido, a fin evitar trámites complementarios vinculados a la constatación del mantenimiento de la capacidad económica oportunamente certificada.	Debería asistir DOS veces: 1.- Presentar la documentación correspondiente. 2.- Retirar el certificado.		En la dependencia AFIP-DGI que corresponda a la jurisdicción del domicilio del solicitante, salvo que se tratara de un beneficiario que posea clave única de identificación tributaria (CUIT), en cuyo caso, la solicitud se deberá efectuar en la dependencia AIP-DGI en la que se encuentre inscripto.Consulte la Dependencia AFIP/DGI correspondiente a su domicilio y su horario y días de atención.					
1150	Asignación Universal por Hijo con Discapacidad para Protección Social	Administración Nacional de la Seguridad Social	Obtener la Asignación Familiar Universal por Hijo Discapacitado para Protección Social (Decreto Nº 1602/09). Es un beneficio que le corresponde percibir a las personas desocupadas, que trabajan en el mercado informal o ganan menos del salario mínimo, vital y móvil, cuyos hijos sean discapacitados sin límite de edad, pero hasta un máximo de 5 hijos discapacitados por beneficio.  La Asignación será liquidada si cuenta con Autorización vigente de ANSES, en el caso en que el menor o la persona a cargo se encuentre discapacitada. A través de esta asignación el Estado busca asegurarse de que los niños y adolescentes asistan a la escuela, se realicen controles periódicos de salud y cumplan con el calendario de vacunación obligatorio, ya que éstos son requisitos indispensables para cobrarla.  El 80% del valor de esta asignación se liquida en forma mensual y el 20% restante se acumula y se liquida una vez al año cuando se verifica el cumplimiento de los requisitos de salud, vacunación y escolaridad del hijo/hijo con discapacidad y de Declaración Jurada del Adulto Responsable.	1.- Original del Formulario P.S.2.71 &ldquo;Declaración Jurada para la Tramitación de la Autorización para el Cobro de la Asignación por Hijo/Cónyuge con Discapacidad&rdquo;.  2.- Original y fotocopia del Certificado Único de Discapacidad (CUD), expedido por los organismos habilitados a tal efecto, en el marco de las previsiones de la Ley Nº 22.431. En las provincias que momentáneamente se encuentran excluidas de la emisión del Certificado Único de Discapacidad (CUD) se deberá presentar, en su reemplazo, el certificado de discapacidad vigente conforme a la Ley Provincial correspondiente. (*)  Si la persona con discapacidad cuenta con Certificado de Discapacidad Provincial vigente al momento de la presentación del trámite de autorización de discapacidad, puede presentar original y fotocopia del mencionado certificado, el que se considerará válido hasta la fecha de su vencimiento.  3.- Documentación para la carga de las relaciones y acreditación de datos de persona en la Base Administrador Datos de Personas de ANSES (ADP) y para actualizar el domicilio tanto del titular como del Discapacitado, si estos no se encontraran registrados/actualizados. Solicitar cartilla &ldquo;Actualización de datos personales y de relaciones&rdquo;.  4.- En los casos de Hijos con Discapacidad mayores de 18 años en donde no coincidan los domicilios declarados en el Formulario &ldquo;Declaración Jurada para la Tramitación de la Autorización para el Cobro de la Asignación por Hijo/Cónyuge con Discapacidad&rdquo;, el titular deberá presentar original y fotocopia de la documentación respaldatoria que acredite que tiene a su cargo a su hijo mayor de 18 años; acompañando al menos una constancia de las que se detallan a continuación: a) Certificado médico que acredite que por razones de salud la persona con discapacidad vive en el domicilio declarado, acompañando documentación que acredite la manutención del discapacitado por parte del titular (giros bancarios, resumen de gastos mensuales, receta médica con factura de pago de remedios extendida a nombre del titular, Contrato de alquiler a nombre del titular con la constancia de pago respectiva, etc.); b) Otra documentación que permita comprobar que el titular contribuye a hacer frente a la enfermedad del discapacitado.    (*) Las jurisdicciones exceptuadas de la emisión del Certificado Único de Discapacidad CUD son: la Ciudad Autónoma de Buenos Aires, y las Provincias de Córdoba, Misiones y Santa Cruz, las que continúan emitiendo el certificado de discapacidad conforme a la Ley Provincial correspondiente.   Los Certificados de Discapacidad Provinciales vigentes al momento de la presentación del trámite son válidos hasta la fecha de su vencimiento. Luego de ese plazo, a fin de renovar la autorización por discapacidad, los beneficiarios deberán tramitar el CUD para presentarlo ante ANSES. Las autorizaciones otorgadas por ANSES en forma permanente, mantienen ese carácter a los efectos del cobro de las asignaciones.   Toda información referente al Certificado Único de Discapacidad (CUD) puede consultarse en la página web del Servicio Nacional de Rehabilitación o por correo electrónico a la dirección juntaevaluadora@snr.gov.ar.   Recuerde renovar el Certificado Único de Discapacidad (CUD) con dos meses de anticipación al vencimiento del certificado vigente, para ello deberá concurrir a las Juntas Evaluadoras correspondientes. Obtenido el Certificado Único de Discapacidad (CUD) deberá renovar la autorización para el cobro de Asignaciones por Discapacidad, previa solicitud de turno en ANSES.   Teniendo en cuenta que podrían existir demoras en el otorgamiento de los turnos para la tramitación de los Certificados Únicos de Discapacidad (CUD), al momento de la solicitud del turno ante las Juntas Evaluadoras, solicite una constancia del día en el que gestionó el mismo.	1.- Verificar que el grupo familiar esté registrado en las bases de ANSES. Para ello, puede enviar un mensaje de texto ($0,16.- más impuestos) desde su celular al número 26737 con los siguientes datos: la palabra HIJOS, dejar un espacio, el Nº de DNI del padre/madre/tutor, dejar espacio, y la letra M (si el encargado del menor es hombre) o la letra F (si es mujer). Por ejemplo: HIJOS 21469278 M Si está registrado, el sistema le responderá &ldquo;Sí&rdquo;, indicando el número de hijos registrados. Si no está registrado, le dirá &ldquo;Por favor, comuníquese al 130&rdquo;.  Si sus datos personales y los de su grupo familiar están registrados en la base de ANSES: - Cobrará las asignaciones en forma directa. - Si no se encuentran registrados, debe presentar el DNI de cada miembro del grupo familiar más las partidas de nacimiento, en originales y fotocopias, incluyendo la página del DNI con el domicilio actualizado, infórmese sobre los Pasos a seguir.  Usted podrá consultar o dar de alta sus datos: - Consultar su situación ante la ANSES. - Telefónicamente: llamar al 130. Consultas. NOTA: Se pagará a uno solo de los padres, tutor, curador o pariente por consanguinidad hasta el tercer grado, por los hijos discapacitados o personas discapacitadas que se encuentren a su cargo. Los hijos deben ser argentinos, hijos de argentinos nativos o por opción, naturalizados o residentes, con residencia legal en el país no inferior a TRES (3) años previos a la solicitud.	Es personal y pueden realizarlo: - Trabajadores no registrados, que ganen un monto igual o menor al salario mínimo, vital y móvil. - Desocupados. - Empleados del servicio doméstico, que ganen un monto igual o menor al salario mínimo, vital y móvil. - Trabajadores de temporada. - Monotribustistas Sociales.				Puede consultar la Unidad De Atención Integral (UDAI) u oficina más cercana a su domicilio.					
1132	Certificación Negativa - ANSES	Administración Nacional de la Seguridad Social	Obtener el comprobante que acredita que la persona no registra prestación alguna en curso de pago: Prestación por Desempleo	 Jubilación	 Pensión	 Plan Jefes y Jefa de Hogar	 Programa de Empleo	 Beneficio en trámite o actividad laboral (bajo relación de dependencia o autónoma).	Requisitos: 1.- Poseer número de CUIL o CUIT.	1.- Iniciar la consulta de la Certificación Negativa. 2.- Ingresar número de CUIL. 3.- Indicar fecha desde y hasta del período a consultar. 4.- Presionar CONTINUAR y el sistema arrojará el resultado de la consulta.	Titular, apoderado, familiar, establecimiento sanitario, etc.				Puede consultar la Unidad De Atención Integral (UDAI) u oficina más cercana a su domicilio.
957	Obtención de constancia de CUIL	Administración Nacional de la Seguridad Social	El Código Único de Identificación Laboral (CUIL) es el número que se otorga a todo trabajador al inicio de su actividad laboral en relación de dependencia y que pertenezca al Sistema Integrado Previsional Argentino (SIPA) y a toda otra persona que gestione alguna prestación o servicio de la Seguridad Social.  Si un trabajador es o ha sido autónomo y tiene asignado una Clave Única de Identificación Tributaria (CUIT), no debe tramitar el CUIL. El CUIL es único por persona.	Para obtener su constancia de CUIL se le solicitarán los siguientes datos: - Apellido y nombre. - Tipo y Nro. de Documento. - Fecha de nacimiento. - Nacionalidad. - Estado civil.	- Por Internet, obtenga la Constancia de CUIL. - Personalmente, en las Unidades de Atención Integral (UDAI), u Oficinas de ANSES. - A través de los empleadores adheridos a Conexión Directa. - En las oficinas del Correo Argentino.  Nota: Puede efectuar sus consultas a través de la línea telefónica gratuita de ANSES, 130. El horario de atención telefónica es de 8:00 a 20:00 hs.  RECUERDE: NO se otorgan turnos telefónicamente.	El trabajador, apoderado o su empleador indistintamente.	El número de CUIL es permanente. El Código Único de Identificación Laboral es personal e intransferible.			Puede consultar la Unidad De Atención Integral (UDAI) u oficina más cercana a su domicilio.					
492	Asignación Familiar por Maternidad/maternidad Down para Trabajadores en Empresas y Beneficiarios de ART incorporadas al SUAF	Administración Nacional de la Seguridad Social	Obtener el pago de un monto igual a la remuneración bruta que le hubiera correspondido percibir a la trabajadora durante el período de Licencia Legal en el empleo con motivo del parto. La cobran las trabajadoras en relación de dependencia o beneficiaria de una Aseguradora de Riesgos del Trabajo. Cuando la trabajadora se desempeña en más de un empleo, tiene derecho a la percepción de esta Asignación Familiar en cada uno de ellos.   En el caso de remuneraciones variables se tiene en cuenta para determinar el monto de esta Asignación Familiar el promedio de las remuneraciones percibidas durante el período de tres (3) meses anteriores al comienzo de la Licencia por Maternidad.	1.- Consultar en la página web de ANSES los requisitos y la documentación necesaria.	1.- Solicitar Turno a través de la página web de ANSES.   Puede Consultar la información del día y el lugar del turno asignado y efectuar la aceptación o cancelación del mismo. 2.- Presentar la documentación requerida en la Unidad de Atención Integral (UDAI) u oficina más cercana a su domicilio.   NOTA: Para solicitar esta prestación es necesario contar con la información del titular y su grupo familiar registrados en las bases de ANSES. Se recomienda presentar la documentación con anterioridad al inicio de la licencia por maternidad/maternidad down para que la liquidación pueda efectuarse durante el transcurso de la licencia respectiva.					Puede consultar la Unidad de Atención Integral (UDAI) u oficina más cercana a su domicilio.					
420	Prestación por Edad Avanzada por Invalidez	Administración Nacional de la Seguridad Social	Otorgar una prestación a los afiliados mayores de 65 años de edad que se encuentren incapacitados para el trabajo y que además acrediten la condición de aportante regular o irregular con derecho. Es incompatible con la percepción de toda jubilación, pensión o retiro civil o militar, nacional, provincial o municipal. No obstante, es factible percibir dicha prestación siempre que se renuncie a las otras prestaciones.	1.- Consultar en la página web de ANSES los requisitos y la documentación necesaria.	1.- Solicitar Turno a través de la página web de ANSES.   Puede Consultar la información del día y el lugar del turno asignado y efectuar la aceptación o cancelación del mismo.   2.- Presentar la documentación requerida en la Unidad de Atención Integral (UDAI) u oficina más cercana a su domicilio.					Puede consultar la Unidad de Atención Integral (UDAI) u oficina más cercana a su domicilio.					
250	Retiro por Invalidez	Administración Nacional de la Seguridad Social	Otorgar una prestación a aquella persona afiliada al SIPA, cualquiera fuere su edad o antigüedad en el servicio, que se incapacite física o intelectualmente en forma total para el desempeño de cualquier actividad compatible con sus aptitudes profesionales y que además cumpla con la condición de aportante regular o irregular con derecho. Es incompatible con el desempeño de cualquier actividad en relación de dependencia.	1.- Consultar en la página web de ANSES los requisitos y la documentación necesaria.	1.- Solicitar Turno a través de la página web de ANSES.   Puede Consultar la información del día y el lugar del turno asignado y efectuar la aceptación o cancelación del mismo.   2.- Presentar la documentación requerida en la Unidad de Atención Integral (UDAI) u oficina más cercana a su domicilio.					Puede consultar la Unidad de Atención Integral (UDAI) u oficina más cercana a su domicilio.					
1202	Programa Naveguemos Juntos	Armada Argentina	Es un curso de navegación a vela adaptada para personas con discapacidad con los objetivos de socialización, integración y trabajo en equipo para mejorar sus aptitudes psíquicas y físicas.   La duración del curso es de diez clases de 3 horas de duración, una vez por semana y al finalizar el mismo se entregará un certificado de asistencia.	Requisitos: 1.- Tener entre 18 y 63 años a la fecha de iniciación de los cursos. 2.- Saber nadar. 3.- Poseer:    - Capacidad para manipular cabos (sogas).    - Capacidad para recibir, comprender y ejecutar instrucciones básicas de navegación.     Qué documentación se debe presentar: 1.- Certificado de Discapacidad oficial emitido por autoridad competente. 2.- Certificado médico de aptitud 3.- DNI.   NOTA: Una vez inscripto deberá firmar un compromiso aceptando los requisitos y exigencias del curso.	1.- Informarse en la División de Relaciones con la Comunidad por correo electrónico a rrcomunidad@ara.mil.ar o telefónicamente al (011) 4317 2000 Interno 3091. 2.- Asistir a la entrevista acordada.   RECUERDE: Los cupos son limitados.	Personas con discapacidad.		Debería asistir 1 vez: 1.- Asistir a la entrevista acordada.		Sede Olivos del Centro Naval, Malaver 401, Olivos (altura Libertador al 1900).					
2406	Programa de plazas accesibles	Comisión Nacional Asesora para la Integración de las Personas con Discapacidad	Acceder al Programa de plazas accesibles que propone la ejecución de obras básicas y equipamiento de plazas existentes, permitiendo conformar espacios verdes y de juegos accesibles.El programa se incluye dentro de los objetivos planteados en el Plan Nacional de Accesibilidad en el ámbito de la movilidad y la eliminación de barreras, instalando criterios de accesibilidad universal.	1.- Consultar los requisitos y la documentación necesaria para cada Programa.	1.- Presentar la solicitud en la Mesa de Entradas de la Unidad Ejecutora de Proyectos, la cual procederá a su registro y, cuando corresponda, a su caratulación, dando inicio formal al trámite. Puede consultar los Formularios necesarios para la transferencia de fondos. Una vez cumplimentada la solicitud, la Coordinación Técnica de la Unidad Ejecutora de Proyectos realizará un Informe Técnico, en base al cual el Coordinador General emitirá un dictamen sobre la procedencia de la aceptación o rechazo de la petición. En caso de ser aceptado, la Unidad Ejecutora de Proyectos elaborará el convenio a suscribir con el beneficiario. Todo Proyecto de convenio o de resolución de otorgamiento de subsidio, deberá contar con dictamen jurídico de la Secretaría Legal y Técnica de la Presidencia de la Nación. 2.- Realizar la Rendición de Cuentas.     Nota: En todos los casos la solicitud deberá estar avalada por el área gubernamental local con competencia en materia de discapacidad, de la Provincia de origen del solicitante o del lugar donde se aplique el subsidio o del Gobierno de la Ciudad Autónoma de Buenos Aires, independientemente de la intervención que le competa a los distintos Ministerios del Gobierno Nacional.  	Podrán presentar proyectos aquellos Municipios que hayan firmado o firmen el Convenio sobre el Plan Nacional de Accesibilidad. (Resolución CONADIS Nº 94/07).		Debería asistir DOS veces:1.- Presentar la documentación.2.- Suscribir el convenio.   Nota: Eventualmente podría ser citado para dar explicaciones o agregar documentación.  		Unidad Ejecutora de Proyectos, CONADIS sita en Av. Julio A. Roca 782, Piso 4, Ciudad Autónoma de Buenos Aires.	Los proyectos serán recibidos a partir del 1 de julio de 2013 y pueden ser enviados, según corresponda, por organismos de gobierno, organizaciones de la sociedad civil y personas físicas.				
2405	Programa de fortalecimiento de redes de rehabilitación	Comisión Nacional Asesora para la Integración de las Personas con Discapacidad	Acceder al Programa de fortalecimiento de redes de rehabilitación que tiene por finalidad fortalecer el sistema público de salud promoviendo en sus hospitales públicos la generación de servicios de rehabilitación, para hacer accesible la atención en rehabilitación de las personas con discapacidad o riesgo de adquirirla. Tiene como propósito, crear o fortalecer servicios de rehabilitación de II Nivel de atención, Resolución N°47/2001, integrados a la red de atención en rehabilitación planeada por la provincia.	1.- Consultar los requisitos y la documentación necesaria para cada Programa.	1.- Presentar la solicitud en la Mesa de Entradas de la Unidad Ejecutora de Proyectos, la cual procederá a su registro y, cuando corresponda, a su caratulación, dando inicio formal al trámite. Puede consultar los Formularios necesarios para la transferencia de fondos. Una vez cumplimentada la solicitud, la Coordinación Técnica de la Unidad Ejecutora de Proyectos realizará un Informe Técnico, en base al cual el Coordinador General emitirá un dictamen sobre la procedencia de la aceptación o rechazo de la petición. En caso de ser aceptado, la Unidad Ejecutora de Proyectos elaborará el convenio a suscribir con el beneficiario. Todo Proyecto de convenio o de resolución de otorgamiento de subsidio, deberá contar con dictamen jurídico de la Secretaría Legal y Técnica de la Presidencia de la Nación. 2.- Realizar la Rendición de Cuentas.     Nota: En todos los casos la solicitud deberá estar avalada por el área gubernamental local con competencia en materia de discapacidad, de la Provincia de origen del solicitante o del lugar donde se aplique el subsidio o del Gobierno de la Ciudad Autónoma de Buenos Aires, independientemente de la intervención que le competa a los distintos Ministerios del Gobierno Nacional.  	Podrán presentar proyectos los organismos gubernamentales y las Asociaciones Cooperadoras de los hospitales públicos.		Debería asistir DOS veces:1.- Presentar la documentación.2.- Suscribir el convenio.   Nota: Eventualmente podría ser citado para dar explicaciones o agregar documentación.  		Unidad Ejecutora de Proyectos, CONADIS sita en Av. Julio A. Roca 782, Piso 4, Ciudad Autónoma de Buenos Aires.	Los proyectos serán recibidos a partir del 1 de julio de 2013 y pueden ser enviados, según corresponda, por organismos de gobierno, organizaciones de la sociedad civil y personas físicas.				
